trial,x_location,y_location,z_location,speed,voltage,grad,force
616,0,0,-0.6,3,0.061942266,-0.00871,-3.32
616,0,0,-0.6,3,0.045507855,-0.009203,-2.1
616,0,0,-0.6,3,0.043535725,0.002794,-0.74
1552,0,0,-0.6,4,0.051095554,0.009039,-1.9
1552,0,0,-0.6,4,0.061613577,0.003451,-3.36
1552,0,0,-0.6,4,0.057998007,-0.008546,-3.4
1552,0,0,-0.6,4,0.04452179,-0.007231,-1.5
648,-15,0,-0.6,3,0.043535725,-0.000493,-0.6
648,-15,0,-0.6,3,0.043535725,0.001315,-1.38
648,-15,0,-0.6,3,0.046165231,0.001808,-2.5
648,-15,0,-0.6,3,0.047151296,-0.000822,-2.98
648,-15,0,-0.6,3,0.04452179,-0.001643,-2.54
648,-15,0,-0.6,3,0.043864413,0.002958,-1.34
1072,0,0,-0.6,4,0.050438178,0.007889,-1.5
1072,0,0,-0.6,4,0.059641448,0.005259,-3.26
1072,0,0,-0.6,4,0.060956201,-0.007067,-3.54
1072,0,0,-0.6,4,0.045507855,-0.008546,-2.08
1984,0,0,-0.6,1,0.043864413,-0.000493,-0.8
1984,0,0,-0.6,1,0.04452179,0.000657,-1.12
1984,0,0,-0.6,1,0.045179166,0.001315,-1.5
1984,0,0,-0.6,1,0.047151296,0.003123,-1.9
1984,0,0,-0.6,1,0.051424243,0.006738,-2.26
1984,0,0,-0.6,1,0.060627513,0.009039,-2.58
1984,0,0,-0.6,1,0.069502095,0.007889,-2.92
1984,0,0,-0.6,1,0.076404548,0.003944,-3.46
1984,0,0,-0.6,1,0.077390612,-0.000164,-3.36
1984,0,0,-0.6,1,0.076075859,-0.006081,-2.82
1984,0,0,-0.6,1,0.065229148,-0.013969,-2.46
1984,0,0,-0.6,1,0.04813736,-0.009861,-1.82
1984,0,0,-0.6,1,0.045507855,-0.001643,-1.68
1984,0,0,-0.6,1,0.044850478,-0.000657,-1.32
1984,0,0,-0.6,1,0.044193102,-0.000329,-0.76
1984,0,0,-0.6,1,0.044193102,-0.000164,-0.64
1877,-15,0,-1.1,3,0.043864413,-0.000164,-0.94
1877,-15,0,-1.1,3,0.043864413,0.001972,-1.58
1877,-15,0,-1.1,3,0.047808672,0.006245,-2.72
1877,-15,0,-1.1,3,0.056354566,0.007889,-3.76
1877,-15,0,-1.1,3,0.063585707,0.008546,-5.12
1877,-15,0,-1.1,3,0.073446354,0.012819,-6.64
1877,-15,0,-1.1,3,0.089223388,0.013969,-8.32
1877,-15,0,-1.1,3,0.101384853,0.00756,-8.98
1877,-15,0,-1.1,3,0.104343047,-0.00115,-7.38
1877,-15,0,-1.1,3,0.099084035,-0.011833,-5.44
1877,-15,0,-1.1,3,0.080677494,-0.027117,-3.62
1877,-15,0,-1.1,3,0.044850478,-0.018571,-2.12
1877,-15,0,-1.1,3,0.043535725,-0.000657,-1.1
882,-15,0,-0.6,2,0.043535725,0,-0.66
882,-15,0,-0.6,2,0.043535725,0.000164,-1.08
882,-15,0,-0.6,2,0.043864413,0.000822,-1.7
882,-15,0,-0.6,2,0.045179166,0.001972,-2.24
882,-15,0,-0.6,2,0.047808672,0,-3
882,-15,0,-0.6,2,0.045179166,-0.001972,-2.68
882,-15,0,-0.6,2,0.043864413,-0.000822,-1.84
882,-15,0,-0.6,2,0.043535725,-0.000329,-1.22
882,-15,0,-0.6,2,0.043207037,0.000329,-0.6
1066,0,0,-1.1,3,0.044193102,0.003287,-0.96
1066,0,0,-1.1,3,0.049780801,0.008382,-1.9
1066,0,0,-1.1,3,0.060956201,0.011011,-3.14
1066,0,0,-1.1,3,0.071802912,0.011833,-4.58
1066,0,0,-1.1,3,0.084621753,0.013969,-5.86
1066,0,0,-1.1,3,0.099741411,0.01627,-7.26
1066,0,0,-1.1,3,0.117161887,0.014462,-8.82
1066,0,0,-1.1,3,0.128665975,0.006245,-9.52
1066,0,0,-1.1,3,0.12965204,-0.00378,-7.96
1066,0,0,-1.1,3,0.121106146,-0.012161,-5.58
1066,0,0,-1.1,3,0.105329111,-0.024159,-3.88
1066,0,0,-1.1,3,0.072788977,-0.030404,-2.5
1066,0,0,-1.1,3,0.04452179,-0.014462,-1.38
1066,0,0,-1.1,3,0.043864413,0.00263,-0.6
133,15,0,-0.5,3,0.049780801,0.011504,-0.7
133,15,0,-0.5,3,0.066872589,0.016599,-1.7
